id;monto;fecha;numero_cuotas;bindex_id;cliente_id;tipoInversion_id;tipoMovimiento_id;;;
123;2317;2018-04-14;1;123;3;3;3;;;
124;2228;2018-04-15;1;124;4;3;3;;;
125;3600;2018-04-16;1;125;5;3;3;;;
126;3692;2018-04-17;1;126;6;3;3;;;
127;1878;2018-04-18;1;127;7;3;3;;;
128;3019;2018-04-19;1;128;8;3;3;;;
129;2897;2018-04-20;1;129;9;3;3;;;
130;1038;2018-04-21;1;130;10;3;3;;;
131;1233;2018-04-22;1;131;11;3;3;;;
132;2196;2018-04-23;1;132;12;3;3;;;
133;1289;2018-04-24;1;133;13;3;3;;;
134;3643;2018-04-25;1;134;14;3;3;;;
135;1351;2018-04-26;1;135;15;3;3;;;
136;1817;2018-04-27;1;136;16;3;3;;;
137;2267;2018-04-28;1;137;17;3;3;;;
138;1564;2018-04-29;1;138;18;3;3;;;
139;2604;2018-04-30;1;139;19;3;3;;;
140;3240;2018-05-01;1;140;20;3;3;;;
141;8762;2018-05-02;1;141;1;4;2;;;
142;7747;2018-05-03;1;142;2;4;2;;;
143;8189;2018-05-04;1;143;3;4;2;;;
144;7600;2018-05-05;1;144;4;4;2;;;
145;8163;2018-05-06;1;145;5;4;2;;;
146;7177;2018-05-07;1;146;6;4;2;;;
147;8125;2018-05-08;1;147;7;4;2;;;
148;8122;2018-05-09;1;148;8;4;2;;;
149;8662;2018-05-10;1;149;9;4;2;;;
150;7539;2018-05-11;1;150;10;4;2;;;
151;8804;2018-05-12;1;151;11;4;2;;;
152;7955;2018-05-13;1;152;12;4;2;;;
153;7060;2018-05-14;1;153;13;4;2;;;
154;8769;2018-05-15;1;154;14;4;2;;;
155;8497;2018-05-16;1;155;15;4;2;;;
156;8929;2018-05-17;1;156;16;4;2;;;
157;7952;2018-05-18;1;157;17;4;2;;;
158;8806;2018-05-19;1;158;18;4;2;;;
159;8535;2018-05-20;1;159;19;4;2;;;
160;7055;2018-05-21;1;160;20;4;2;;;
161;1809;2018-05-22;1;161;1;4;3;;;
162;1419;2018-05-23;1;162;2;4;3;;;
163;1682;2018-05-24;1;163;3;4;3;;;
164;2541;2018-05-25;1;164;4;4;3;;;
165;2740;2018-05-26;1;165;5;4;3;;;
166;2500;2018-05-27;1;166;6;4;3;;;
167;1014;2018-05-28;1;167;7;4;3;;;
168;1111;2018-05-29;1;168;8;4;3;;;
169;2262;2018-05-30;1;169;9;4;3;;;
170;2085;2018-05-31;1;170;10;4;3;;;
171;2485;2018-06-01;1;171;11;4;3;;;
172;1956;2018-06-02;1;172;12;4;3;;;
173;1755;2018-06-03;1;173;13;4;3;;;
174;1246;2018-06-04;1;174;14;4;3;;;
175;1050;2018-06-05;1;175;15;4;3;;;
176;1190;2018-06-06;1;176;16;4;3;;;
177;2330;2018-06-07;1;177;17;4;3;;;
178;1140;2018-06-08;1;178;18;4;3;;;
179;1091;2018-06-09;1;179;19;4;3;;;
180;1300;2018-06-10;1;180;20;4;3;;;
181;5889;2018-06-11;1;181;1;1;2;;;
182;5146;2018-06-12;1;182;2;1;2;;;
183;5363;2018-06-13;1;183;3;1;2;;;
184;5699;2018-06-14;1;184;4;1;2;;;
185;5750;2018-06-15;1;185;5;1;2;;;
186;5664;2018-06-16;1;186;6;1;2;;;
187;5460;2018-06-17;1;187;7;1;2;;;
188;5724;2018-06-18;1;188;8;1;2;;;
189;5428;2018-06-19;1;189;9;1;2;;;
190;5852;2018-06-20;1;190;10;1;2;;;
191;5737;2018-06-21;1;191;11;1;2;;;
192;5989;2018-06-22;1;192;12;1;2;;;
193;5757;2018-06-23;1;193;13;1;2;;;
194;5608;2018-06-24;1;194;14;1;2;;;
195;5363;2018-06-25;1;195;15;1;2;;;
196;5753;2018-06-26;1;196;16;1;2;;;
197;5039;2018-06-27;1;197;17;1;2;;;
198;5678;2018-06-28;1;198;18;1;2;;;
199;5012;2018-06-29;1;199;19;1;2;;;
200;5983;2018-06-30;1;200;20;1;2;;;
201;667;2018-07-01;1;201;1;1;3;;;
202;698;2018-07-02;1;202;2;1;3;;;
203;276;2018-07-03;1;203;3;1;3;;;
204;851;2018-07-04;1;204;4;1;3;;;
205;238;2018-07-05;1;205;5;1;3;;;
206;567;2018-07-06;1;206;6;1;3;;;
207;826;2018-07-07;1;207;7;1;3;;;
208;730;2018-07-08;1;208;8;1;3;;;
209;316;2018-07-09;1;209;9;1;3;;;
210;784;2018-07-10;1;210;10;1;3;;;486
211;263;2018-07-11;1;211;11;1;3;;;
212;828;2018-07-12;1;212;12;1;3;;;
213;779;2018-07-13;1;213;13;1;3;;;
214;165;2018-07-14;1;214;14;1;3;;;
215;277;2018-07-15;1;215;15;1;3;;;
216;859;2018-07-16;1;216;16;1;3;;;
217;333;2018-07-17;1;217;17;1;3;;;
218;558;2018-07-18;1;218;18;1;3;;;
219;906;2018-07-19;1;219;19;1;3;;;
220;454;2018-07-20;1;220;20;1;3;;;
221;7950;2018-07-21;1;221;1;2;2;;;
222;6713;2018-07-22;1;222;2;2;2;;;
223;6979;2018-07-23;1;223;3;2;2;;;
224;5838;2018-07-24;1;224;4;2;2;;;
225;7896;2018-07-25;1;225;5;2;2;;;
226;4418;2018-07-26;1;226;6;2;2;;;
227;6841;2018-07-27;1;227;7;2;2;;;
228;7989;2018-07-28;1;228;8;2;2;;;
229;7222;2018-07-29;1;229;9;2;2;;;
230;7781;2018-07-30;1;230;10;2;2;;;
231;4549;2018-07-31;1;231;11;2;2;;;
232;6167;2018-08-01;1;232;12;2;2;;;
233;5367;2018-08-02;1;233;13;2;2;;;
234;5154;2018-08-03;1;234;14;2;2;;;
235;5958;2018-08-04;1;235;15;2;2;;;
236;7304;2018-08-05;1;236;16;2;2;;;
237;6317;2018-08-06;1;237;17;2;2;;;
238;7162;2018-08-07;1;238;18;2;2;;;
239;7654;2018-08-08;1;239;19;2;2;;;
240;7637;2018-08-09;1;240;20;2;2;;;
241;1346;2018-08-10;1;241;1;2;3;;;
242;3624;2018-08-11;1;242;2;2;3;;;
243;3843;2018-08-12;1;243;3;2;3;;;
244;2986;2018-08-13;1;244;4;2;3;;;
245;2872;2018-08-14;1;245;5;2;3;;;
246;3582;2018-08-15;1;246;6;2;3;;;
247;2344;2018-08-16;1;247;7;2;3;;;
248;1864;2018-08-17;1;248;8;2;3;;;
249;3025;2018-08-18;1;249;9;2;3;;;
250;3411;2018-08-19;1;250;10;2;3;;;
251;2850;2018-08-20;1;251;11;2;3;;;
252;2062;2018-08-21;1;252;12;2;3;;;
253;1851;2018-08-22;1;253;13;2;3;;;
254;3144;2018-08-23;1;254;14;2;3;;;
255;2252;2018-08-24;1;255;15;2;3;;;
256;2423;2018-08-25;1;256;16;2;3;;;
257;3509;2018-08-26;1;257;17;2;3;;;
258;2204;2018-08-27;1;258;18;2;3;;;
259;3501;2018-08-28;1;259;19;2;3;;;
260;2406;2018-08-29;1;260;20;2;3;;;
261;6648;2018-08-30;1;261;1;3;2;;;
262;9630;2018-08-31;1;262;2;3;2;;;
263;5238;2018-09-01;1;263;3;3;2;;;
264;8409;2018-09-02;1;264;4;3;2;;;
265;8892;2018-09-03;1;265;5;3;2;;;
266;7307;2018-09-04;1;266;6;3;2;;;
267;6131;2018-09-05;1;267;7;3;2;;;
268;7826;2018-09-06;1;268;8;3;2;;;
269;7292;2018-09-07;1;269;9;3;2;;;
270;9360;2018-09-08;1;270;10;3;2;;;
271;7991;2018-09-09;1;271;11;3;2;;;
272;9253;2018-09-10;1;272;12;3;2;;;
273;5731;2018-09-11;1;273;13;3;2;;;
274;7018;2018-09-12;1;274;14;3;2;;;
275;5390;2018-09-13;1;275;15;3;2;;;
276;9840;2018-09-14;1;276;16;3;2;;;
277;5358;2018-09-15;1;277;17;3;2;;;
278;9255;2018-09-16;1;278;18;3;2;;;
279;7401;2018-09-17;1;279;19;3;2;;;
280;9324;2018-09-18;1;280;20;3;2;;;
281;3169;2018-09-19;1;281;1;3;3;;;
282;2364;2018-09-20;1;282;2;3;3;;;
283;3349;2018-09-21;1;283;3;3;3;;;
284;1678;2018-09-22;1;284;4;3;3;;;
285;3215;2018-09-23;1;285;5;3;3;;;
286;2790;2018-09-24;1;286;6;3;3;;;
287;2510;2018-09-25;1;287;7;3;3;;;
288;2312;2018-09-26;1;288;8;3;3;;;
289;1217;2018-09-27;1;289;9;3;3;;;
290;1044;2018-09-28;1;290;10;3;3;;;
291;2328;2018-09-29;1;291;11;3;3;;;
292;1754;2018-09-30;1;292;12;3;3;;;
293;2181;2018-10-01;1;293;13;3;3;;;
294;2685;2018-10-02;1;294;14;3;3;;;
295;2783;2018-10-03;1;295;15;3;3;;;
296;1307;2018-10-04;1;296;16;3;3;;;
297;3307;2018-10-05;1;297;17;3;3;;;
298;2557;2018-10-06;1;298;18;3;3;;;
299;3607;2018-10-07;1;299;19;3;3;;;
300;3914;2018-10-08;1;300;20;3;3;;;
301;5542;2018-10-09;1;301;1;4;2;;;
302;5788;2018-10-10;1;302;2;4;2;;;
303;5818;2018-10-11;1;303;3;4;2;;;
304;5365;2018-10-12;1;304;4;4;2;;;
305;5153;2018-10-13;1;305;5;4;2;;;
306;5851;2018-10-14;1;306;6;4;2;;;
307;5880;2018-10-15;1;307;7;4;2;;;
308;5637;2018-10-16;1;308;8;4;2;;;
309;5902;2018-10-17;1;309;9;4;2;;;
310;5234;2018-10-18;1;310;10;4;2;;;
311;5163;2018-10-19;1;311;11;4;2;;;
312;5305;2018-10-20;1;312;12;4;2;;;
313;5993;2018-10-21;1;313;13;4;2;;;
314;5847;2018-10-22;1;314;14;4;2;;;
315;5734;2018-10-23;1;315;15;4;2;;;
316;5549;2018-10-24;1;316;16;4;2;;;
317;5789;2018-10-25;1;317;17;4;2;;;
318;5449;2018-10-26;1;318;18;4;2;;;
319;5240;2018-10-27;1;319;19;4;2;;;
320;5146;2018-10-28;1;320;20;4;2;;;
321;2609;2018-10-29;1;321;1;4;3;;;
322;2073;2018-10-30;1;322;2;4;3;;;
323;1628;2018-10-31;1;323;3;4;3;;;
324;1130;2018-11-01;1;324;4;4;3;;;
325;2977;2018-11-02;1;325;5;4;3;;;
326;2642;2018-11-03;1;326;6;4;3;;;
327;2247;2018-11-04;1;327;7;4;3;;;
328;2517;2018-11-05;1;328;8;4;3;;;
329;2806;2018-11-06;1;329;9;4;3;;;
330;1907;2018-11-07;1;330;10;4;3;;;
331;1761;2018-11-08;1;331;11;4;3;;;
332;1160;2018-11-09;1;332;12;4;3;;;
333;965;2018-11-10;1;333;13;4;3;;;
334;814;2018-11-11;1;334;14;4;3;;;
335;1379;2018-11-12;1;335;15;4;3;;;
336;2961;2018-11-13;1;336;16;4;3;;;
337;1319;2018-11-14;1;337;17;4;3;;;
338;2121;2018-11-15;1;338;18;4;3;;;
339;1514;2018-11-16;1;339;19;4;3;;;
340;1196;2018-11-17;1;340;20;4;3;;;
